,date
10491,2014-03-25
10495,2014-03-25
10503,2014-03-25
10518,2014-03-25
10520,2014-03-25
10521,2014-03-25
10522,2014-03-25
10523,2014-03-25
10524,2014-03-25
10641,2014-03-26
10644,2014-03-26
10645,2014-03-26
10646,2014-03-26
10648,2014-03-26
10649,2014-03-26
10650,2014-03-26
10652,2014-03-26
10653,2014-03-26
10658,2014-03-26
10659,2014-03-26
10660,2014-03-26
10661,2014-03-26
10664,2014-03-26
10666,2014-03-26
10673,2014-03-26
10680,2014-03-26
10781,2014-03-27
10783,2014-03-27
10784,2014-03-27
10785,2014-03-27
10787,2014-03-27
10788,2014-03-27
10791,2014-03-27
10792,2014-03-27
10793,2014-03-27
10794,2014-03-27
10903,2014-03-28
10906,2014-03-28
10907,2014-03-28
10908,2014-03-28
10914,2014-03-28
10941,2014-03-28
10975,2014-03-28
10976,2014-03-28
10977,2014-03-28
10978,2014-03-28
10979,2014-03-28
10980,2014-03-28
10986,2014-03-28
11063,2014-03-29
11065,2014-03-29
11066,2014-03-29
11068,2014-03-29
11069,2014-03-29
11072,2014-03-29
11073,2014-03-29
11074,2014-03-29
11075,2014-03-29
11076,2014-03-29
11189,2014-03-30
11192,2014-03-30
11193,2014-03-30
11195,2014-03-30
11196,2014-03-30
11280,2014-03-31
11282,2014-03-31
11285,2014-03-31
11289,2014-03-31
11291,2014-03-31
11293,2014-03-31
11294,2014-03-31
11296,2014-03-31
11298,2014-03-31
11299,2014-03-31
11306,2014-03-31
11389,2014-04-01
11390,2014-04-01
11391,2014-04-01
11392,2014-04-01
11393,2014-04-01
11394,2014-04-01
11396,2014-04-01
11442,2014-04-01
11444,2014-04-01
11565,2014-04-02
11567,2014-04-02
11568,2014-04-02
11570,2014-04-02
11571,2014-04-02
11654,2014-04-03
11657,2014-04-03
11659,2014-04-03
11660,2014-04-03
11662,2014-04-03
11668,2014-04-03
11669,2014-04-03
11684,2014-04-03
11877,2014-04-04
11883,2014-04-04
11884,2014-04-04
11887,2014-04-04
11888,2014-04-04
11890,2014-04-04
11891,2014-04-04
11965,2014-04-05
11966,2014-04-05
11967,2014-04-05
11969,2014-04-05
11970,2014-04-05
11972,2014-04-05
11973,2014-04-05
11976,2014-04-05
11977,2014-04-05
11990,2014-04-05
11992,2014-04-05
12032,2014-04-06
12035,2014-04-06
12036,2014-04-06
12037,2014-04-06
12038,2014-04-06
12044,2014-04-06
12060,2014-04-06
12062,2014-04-06
12082,2014-04-06
12083,2014-04-06
12084,2014-04-06
12085,2014-04-06
12087,2014-04-06
12089,2014-04-06
12090,2014-04-06
12092,2014-04-06
12098,2014-04-06
12270,2014-04-07
12271,2014-04-07
12272,2014-04-07
12273,2014-04-07
12274,2014-04-07
12275,2014-04-07
12286,2014-04-07
12287,2014-04-07
12290,2014-04-07
12322,2014-04-08
12325,2014-04-08
12327,2014-04-08
12329,2014-04-08
12330,2014-04-08
12333,2014-04-08
12335,2014-04-08
12339,2014-04-08
12342,2014-04-08
12343,2014-04-08
12344,2014-04-08
12535,2014-04-09
12536,2014-04-09
12537,2014-04-09
12540,2014-04-09
12541,2014-04-09
12544,2014-04-09
12545,2014-04-09
12553,2014-04-09
12554,2014-04-09
12558,2014-04-09
12586,2014-04-10
12589,2014-04-10
12590,2014-04-10
12592,2014-04-10
12595,2014-04-10
12597,2014-04-10
12598,2014-04-10
12600,2014-04-10
12702,2014-04-11
12705,2014-04-11
12706,2014-04-11
12709,2014-04-11
12711,2014-04-11
12712,2014-04-11
12714,2014-04-11
12717,2014-04-11
12718,2014-04-11
12719,2014-04-11
12720,2014-04-11
12721,2014-04-11
12803,2014-04-12
12812,2014-04-12
12819,2014-04-12
12820,2014-04-12
12821,2014-04-12
12824,2014-04-12
12826,2014-04-12
12827,2014-04-12
12830,2014-04-12
12869,2014-04-12
12955,2014-04-13
12957,2014-04-13
12958,2014-04-13
12960,2014-04-13
12961,2014-04-13
12963,2014-04-13
12965,2014-04-13
12966,2014-04-13
12969,2014-04-13
12974,2014-04-13
13108,2014-04-14
13111,2014-04-14
13114,2014-04-14
13115,2014-04-14
13118,2014-04-14
13119,2014-04-14
13120,2014-04-14
13122,2014-04-14
13305,2014-04-15
13309,2014-04-15
13310,2014-04-15
13311,2014-04-15
13323,2014-04-15
13363,2014-04-16
13364,2014-04-16
13365,2014-04-16
13366,2014-04-16
13368,2014-04-16
13370,2014-04-16
13371,2014-04-16
13372,2014-04-16
13373,2014-04-16
13375,2014-04-16
13378,2014-04-16
13384,2014-04-16
13517,2014-04-17
13519,2014-04-17
13522,2014-04-17
13524,2014-04-17
13541,2014-04-17
13548,2014-04-17
13551,2014-04-17
13585,2014-04-18
13586,2014-04-18
13588,2014-04-18
13590,2014-04-18
13598,2014-04-18
13602,2014-04-18
13607,2014-04-18
13608,2014-04-18
13609,2014-04-18
13610,2014-04-18
13611,2014-04-18
13613,2014-04-18
13615,2014-04-18
13617,2014-04-18
13618,2014-04-18
13788,2014-04-19
13791,2014-04-19
13797,2014-04-19
13800,2014-04-19
13801,2014-04-19
13803,2014-04-19
13804,2014-04-19
13807,2014-04-19
13811,2014-04-19
13813,2014-04-19
13911,2014-04-20
13913,2014-04-20
13914,2014-04-20
13920,2014-04-20
13921,2014-04-20
13922,2014-04-20
13924,2014-04-20
13925,2014-04-20
13927,2014-04-20
13934,2014-04-20
13945,2014-04-20
13946,2014-04-20
13964,2014-04-20
14087,2014-04-21
14088,2014-04-21
14089,2014-04-21
14090,2014-04-21
14091,2014-04-21
14092,2014-04-21
14093,2014-04-21
14094,2014-04-21
14095,2014-04-21
14103,2014-04-21
14105,2014-04-21
14107,2014-04-21
14108,2014-04-21
14111,2014-04-21
14113,2014-04-22
14121,2014-04-22
14125,2014-04-22
14130,2014-04-22
14132,2014-04-22
14133,2014-04-22
14134,2014-04-22
14135,2014-04-22
14138,2014-04-22
14294,2014-04-23
14296,2014-04-23
14297,2014-04-23
14301,2014-04-23
14302,2014-04-23
14303,2014-04-23
14304,2014-04-23
14305,2014-04-23
14323,2014-04-23
14387,2014-04-24
14390,2014-04-24
14391,2014-04-24
14392,2014-04-24
14393,2014-04-24
14394,2014-04-24
14395,2014-04-24
14398,2014-04-24
14400,2014-04-24
14401,2014-04-24
14404,2014-04-24
14405,2014-04-24
14417,2014-04-24
14518,2014-04-25
14521,2014-04-25
14522,2014-04-25
14524,2014-04-25
14525,2014-04-25
14526,2014-04-25
14527,2014-04-25
14529,2014-04-25
14536,2014-04-25
14538,2014-04-25
14547,2014-04-25
14553,2014-04-25
14555,2014-04-25
14640,2014-04-26
14642,2014-04-26
14643,2014-04-26
14644,2014-04-26
14645,2014-04-26
14647,2014-04-26
14648,2014-04-26
14649,2014-04-26
14650,2014-04-26
14655,2014-04-26
14673,2014-04-26
14693,2014-04-26
14695,2014-04-26
14696,2014-04-26
14700,2014-04-26
14701,2014-04-26
14902,2014-04-27
14905,2014-04-27
14909,2014-04-27
14910,2014-04-27
14914,2014-04-27
14917,2014-04-27
14918,2014-04-27
14923,2014-04-28
14926,2014-04-28
14928,2014-04-28
14931,2014-04-28
14932,2014-04-28
14933,2014-04-28
14934,2014-04-28
14935,2014-04-28
14936,2014-04-28
14937,2014-04-28
14938,2014-04-28
14939,2014-04-28
14940,2014-04-28
14942,2014-04-28
14947,2014-04-28
15058,2014-04-29
15061,2014-04-29
15062,2014-04-29
15064,2014-04-29
15066,2014-04-29
15068,2014-04-29
15069,2014-04-29
15070,2014-04-29
15071,2014-04-29
15072,2014-04-29
15074,2014-04-29
15075,2014-04-29
15076,2014-04-29
15078,2014-04-29
15079,2014-04-29
15080,2014-04-29
15081,2014-04-29
15088,2014-04-29
15154,2014-04-30
15155,2014-04-30
15156,2014-04-30
15158,2014-04-30
15159,2014-04-30
15160,2014-04-30
15161,2014-04-30
15162,2014-04-30
15164,2014-04-30
15183,2014-04-30
15207,2014-04-30
15208,2014-04-30
15210,2014-04-30
15338,2014-05-01
15340,2014-05-01
15341,2014-05-01
15346,2014-05-01
15360,2014-05-01
15364,2014-05-01
15376,2014-05-01
15382,2014-05-01
15383,2014-05-01
15385,2014-05-01
15386,2014-05-01
15426,2014-05-02
15427,2014-05-02
15428,2014-05-02
15429,2014-05-02
15430,2014-05-02
15433,2014-05-02
15434,2014-05-02
15435,2014-05-02
15597,2014-05-03
15598,2014-05-03
15599,2014-05-03
15603,2014-05-03
15604,2014-05-03
15605,2014-05-03
15606,2014-05-03
15607,2014-05-03
15616,2014-05-03
15617,2014-05-03
15618,2014-05-03
15619,2014-05-03
15621,2014-05-03
15690,2014-05-04
15694,2014-05-04
15697,2014-05-04
15698,2014-05-04
15699,2014-05-04
15701,2014-05-04
15703,2014-05-04
15704,2014-05-04
15705,2014-05-04
15706,2014-05-04
15707,2014-05-04
15708,2014-05-04
15720,2014-05-04
15721,2014-05-04
15722,2014-05-04
15883,2014-05-05
15884,2014-05-05
15886,2014-05-05
15887,2014-05-05
15888,2014-05-05
15889,2014-05-05
15890,2014-05-05
15891,2014-05-05
15892,2014-05-05
15893,2014-05-05
15894,2014-05-05
15895,2014-05-05
15896,2014-05-05
15898,2014-05-05
15902,2014-05-05
15918,2014-05-06
15920,2014-05-06
15921,2014-05-06
15922,2014-05-06
15923,2014-05-06
15924,2014-05-06
15925,2014-05-06
15927,2014-05-06
15929,2014-05-06
15930,2014-05-06
16035,2014-05-07
16036,2014-05-07
16037,2014-05-07
16040,2014-05-07
16041,2014-05-07
16042,2014-05-07
16043,2014-05-07
16045,2014-05-07
16046,2014-05-07
16060,2014-05-07
16062,2014-05-07
16064,2014-05-07
16089,2014-05-07
16092,2014-05-07
16169,2014-05-08
16175,2014-05-08
16176,2014-05-08
16178,2014-05-08
16179,2014-05-08
16182,2014-05-08
16218,2014-05-08
16220,2014-05-08
16254,2014-05-08
16256,2014-05-08
16257,2014-05-08
16318,2014-05-09
16319,2014-05-09
16321,2014-05-09
16322,2014-05-09
16323,2014-05-09
16324,2014-05-09
16325,2014-05-09
16327,2014-05-09
16414,2014-05-10
16416,2014-05-10
16417,2014-05-10
16420,2014-05-10
16422,2014-05-10
16438,2014-05-10
16462,2014-05-10
16463,2014-05-10
16618,2014-05-11
16619,2014-05-11
16620,2014-05-11
16621,2014-05-11
16622,2014-05-11
16623,2014-05-11
16624,2014-05-11
16626,2014-05-11
16749,2014-05-12
16750,2014-05-12
16753,2014-05-12
16757,2014-05-12
16758,2014-05-12
16759,2014-05-12
16774,2014-05-12
16823,2014-05-13
16824,2014-05-13
16825,2014-05-13
16826,2014-05-13
16829,2014-05-13
16830,2014-05-13
16832,2014-05-13
16833,2014-05-13
16834,2014-05-13
16837,2014-05-13
16869,2014-05-13
16900,2014-05-13
16968,2014-05-14
